,race_id,race_name
0,1,2023 Tour Down Under
1,1,2023 Tour Down Under
2,2,2023 Paris-Nice
3,3,2023 Tirreno-Adriatico
4,4,2023 Milano-Sanremo
5,5,2023 Ronde van Vlaanderen
6,6,2023 Itzulia Basque Country
7,7,2023 Gent - Wevelgem
8,8,2023 Paris-Roubaix
9,9,2023 Amstel Gold Race
10,10,2023 La Flèche Wallonne
11,11,2023 Liège-Bastogne-Liège
12,12,2023 Tour de Romandie
13,13,2023 Giro d'Italia
14,14,2023 Volta Catalunya
15,15,2023 Criterium Dauphine
16,16,2023 Tour de Suisse
17,17,2023 Tour de France
18,18,2023 Donostia San Sebastian Klasikoa
19,19,2023 Tour de Pologne
20,20,2023 BEMER Cyclassics
21,21,2023 Benelux Tour
22,22,2023 Bretagne Classic
23,23,2023 Vuelta a España
24,24,2023 Il Lombardia
25,25, WorldTour Calendar
26,26,2023 World Championship RR
27,27,2023 World Championship ITT
28,28,2023 Paris - Tours
29,29,2023 Giro dell'Emilia
30,30, WorldTour Calendar
31,31, WorldTour Calendar
32,32,2023 PostNord Danmark Rundt
33,33, WorldTour Calendar
34,34, WorldTour Calendar
35,35,2023 Eschborn-Frankfurt
36,36,2023 Deutschland Tour
37,37,2023 Tour de Luxembourg
38,38,2023 Österreich-Rundfahrt
39,39, WorldTour Calendar
40,40,2023 Classic Brugge-De Panne
41,41,2023 Paris - Roubaix Espoirs
42,42,2023 LBL Espoirs (U23)
43,43,2023 World Championship RR-U23
44,44,2023 Tour de l'Avenir
45,45,2023 Tour of Britain
46,46,2023 World Championship ITT-U23
47,47,2023 E3 Saxo Classic
48,48,2023 GP Miguel Indurain
49,49,2023 Ringerike GP
50,50,2023 Veenendaal Classic
51,51, WorldTour Calendar
52,52, WorldTour Calendar
53,53,2023 Omloop Het Nieuwsblad
54,54,2023 Strade Bianche
55,55, WorldTour Calendar
56,56,2023 Scheldeprijs
57,57,2023 Tour of Oman
58,58,2023 GP Montreal
59,59,2023 GP Quebec
60,60,2023 Belgium Tour
61,61,2023 Gran Piemonte
62,62,2023 Tour of the Alps
63,63,2023 Tour de l'Ain
64,64,2023 Brussels Classic
65,65, WorldTour Calendar
66,66, WorldTour Calendar
67,67,2023 Flèche du Sud
68,68,2023 Memorial Pantani
69,69, WorldTour Calendar
70,70, WorldTour Calendar
71,71,2023 Tour of Norway
72,72,2023 GP Herning
73,73,2023 Sundvolden GP
74,74,2023 Vuelta a Murcia
75,75,2023 Dwars door Vlaanderen
76,76, WorldTour Calendar
77,77,2023 Brabantse Pijl
78,78, WorldTour Calendar
79,79, WorldTour Calendar
80,80, WorldTour Calendar
81,81, WorldTour Calendar
82,82,2023 Tour de Bretagne
83,83,2023 Trofeo Palma
84,84,2023 Kuurne-Brussel-Kuurne
85,85,2023 Vuelta a Castilla y León
86,86,2023 Vuelta a Colombia
87,87, WorldTour Calendar
88,88, WorldTour Calendar
89,89,2023 Milano - Torino
90,90, WorldTour Calendar
91,91, WorldTour Calendar
92,92,2023 GP de Fourmies
93,93,2023 GP de Wallonie
94,94,2023 Tour de Vendée
95,95,2023 Japan Cup
96,96, WorldTour Calendar
97,97,2023 GP la Marseillaise
98,98, WorldTour Calendar
99,99, WorldTour Calendar
100,100,2023 Trofeo Serra de Tramuntana
